section,group,name,url,description,tags,stars,last_push,line
Appearance,,Animation,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/appearance/animation.md,The process of creating motion and shape change.,,,,29
Appearance,,Typography,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/appearance/typography.md,"The style, arrangement, or appearance of typeset matter.",,,,30
Appearance,,Visualization,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/appearance/visualization.md,Placing data in a visual context.,,,,31
Architecture,,Algorithms,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/architecture/algorithms.md,"A self-contained step-by-step set of operations to be performed. Algorithms perform calculation, data processing, and/or automated reasoning tasks.",,,,37
Architecture,,Design Patterns,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/architecture/design-patterns.md,Best practices that the programmer can use to solve common problems when designing an application or system.,,,,38
Architecture,,Designs,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/architecture/designs.md,Ready to use and well documented structures and frameworks for frontend development.,,,,39
Architecture,,Event-Driven Programming,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/architecture/event-driven-programming.md,"A programming paradigm in which the flow of the program is determined by events such as user actions, sensor outputs, or messages from other programs/threads.",,,,40
Architecture,,Functional Programming,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/architecture/functional-programming.md,"A programming paradigm, that treats computation as the evaluation of mathematical functions and avoids changing-state and mutable data.",,,,41
Architecture,,Functional Reactive Programming (FRP),https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/architecture/functional-reactive-programming-frp.md,FRP is a programming paradigm for asynchronous dataflow programming using the building blocks of functional programming.,,,,42
Compatibility,,Cross Browser,https://github.com/dypsilon/frontend-dev-bookmarks/blob/master/compatibility/cross-browser.md,"Cross-browser refers to the ability of a website, web application, HTML construct or client-side script to function in environments that provide its required features and to bow out or degrade gracefully when features are absent or lacking.",,,,48
